tanggal,waktu,text,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,kata_Tidak_Baku_hash,normalisasi_fixed,translated_text,synonym,stopword_removal,lemmatized_text,tokenize
Fri Feb 06,02:26:37,"Saran saya: dosen merangkap sebagai security/CS. Start gaji Bisa 1 1/2 UMR meskipun Tanpa tunjangan dosen 

Dosen sebagai orang dihormati para civitas akademika, pasti mahasiswa yg tidak tertib akan sungkan",Saran saya dosen merangkap sebagai security CS Start gaji Bisa UMR meskipun Tanpa tunjangan dosen Dosen sebagai orang dihormati para civitas akademika pasti mahasiswa yg tidak tertib akan sungkan,saran saya dosen merangkap sebagai security cs start gaji bisa umr meskipun tanpa tunjangan dosen dosen sebagai orang dihormati para civitas akademika pasti mahasiswa yg tidak tertib akan sungkan,saran saya dosen merangkap sebagai security cs start gaji bisa umr meskipun tanpa tunjangan dosen dosen sebagai orang dihormati para civitas akademika pasti mahasiswa yang tidak tertib akan sungkan,['yang'],['yg'],[2667696029615725929],saran saya dosen merangkap sebagai security cs start gaji bisa umr meskipun tanpa tunjangan dosen dosen sebagai orang dihormati para civitas akademika pasti mahasiswa yang tidak tertib akan sungkan,my advice is that lecturers concurrently as security cs start salary can be umr even without the allowance of lecturers as people respected by the academic community surely students who are not orderly will hesitate,my advice is that lecturer concurrently as security cs start salary can be umr even without the salary of lecturer as people respected by the lecturer community surely students who are not orderly will hesitate,advice lecturer concurrently security cs start salary umr without salary lecturer respected lecturer community surely students not orderly hesitate,advice lecturer concurrently security c start salary umr without salary lecturer respect lecturer community surely student not orderly hesitate,"['advice', 'lecturer', 'concurrently', 'security', 'c', 'start', 'salary', 'umr', 'without', 'salary', 'lecturer', 'respect', 'lecturer', 'community', 'surely', 'student', 'not', 'orderly', 'hesitate']"
Fri Feb 06,02:11:00,"Saya pada titik tertentu menemukan juga, untuk jadi guru dan dosen di karir awal, kita butuh ""privilege"" side job. Artinya, yg memutuskan ngajar dgn gaji ugal2an, ditemukan punya income eksternal bahkan warisan atau ditopang ortu, suami, istri, dan sejenisnya. 

Misal, sy: dagang",Saya pada titik tertentu menemukan juga untuk jadi guru dan dosen di karir awal kita butuh privilege side job Artinya yg memutuskan ngajar dgn gaji ugal2an ditemukan punya income eksternal bahkan warisan atau ditopang ortu suami istri dan sejenisnya Misal sy dagang,saya pada titik tertentu menemukan juga untuk jadi guru dan dosen di karir awal kita butuh privilege side job artinya yg memutuskan ngajar dgn gaji ugal2an ditemukan punya income eksternal bahkan warisan atau ditopang ortu suami istri dan sejenisnya misal sy dagang,saya pada titik tertentu menemukan juga untuk jadi guru dan dosen di karir awal kita butuh privilege side job artinya yang memutuskan mengajar dengan gaji ugal2an ditemukan punya income eksternal bahkan warisan atau ditopang orang tua suami istri dan sejenisnya misal saya dagang,"['yang', 'mengajar', 'dengan', 'orang tua', 'saya']","['yg', 'ngajar', 'dgn', 'ortu', 'sy']","[2667696029615725929, 5284648309057257807, -28518359869107684, -4164674534070320340, 611219449873757121]",saya pada titik tertentu menemukan juga untuk jadi guru dan dosen di karir awal kita butuh privilege side job artinya yang memutuskan mengajar dengan gaji ugal2an ditemukan punya income eksternal bahkan warisan atau ditopang orang tua suami istri dan sejenisnya misal saya dagang,i at some point found also to be a teacher and lecturer in my early career we need a privilege side job meaning that those who decide to teach with an unreasonable salary are found to have external income and even inheritance or supported by parents husband and wife and the like for example i trade,i at some point found also to be a lecturer and lecturer in my early career we need a privilege side job meaning that those who decide to teach with an unreasonable salary are found to have external salary and even inheritance or supported by parents husband and wife and the like for example i trade,point found lecturer lecturer early career need privilege side job meaning decide teach unreasonable salary found external salary inheritance supported parents husband wife example trade,point find lecturer lecturer early career need privilege side job mean decide teach unreasonable salary find external salary inheritance support parent husband wife example trade,"['point', 'find', 'lecturer', 'lecturer', 'early', 'career', 'need', 'privilege', 'side', 'job', 'mean', 'decide', 'teach', 'unreasonable', 'salary', 'find', 'external', 'salary', 'inheritance', 'support', 'parent', 'husband', 'wife', 'example', 'trade']"
Fri Feb 06,00:54:24,@ikhwanuddin Gaji dosen aja ga sampek itu 10 juta 😭😭,Gaji dosen aja ga sampek itu juta,gaji dosen aja ga sampek itu juta,gaji dosen saja tidak sampai itu juta,"['saja', 'tidak', 'sampai']","['aja', 'ga', 'sampek']","[-5214622237750482465, -1647583646953850176, -3202018621803856469]",gaji dosen saja tidak sampai itu juta,the salary of lecturers alone is not up to that million,the salary of lecturer alone is not up to that million,salary lecturer alone not million,salary lecturer alone not million,"['salary', 'lecturer', 'alone', 'not', 'million']"
Fri Feb 06,00:27:13,"Dosen case yg menarik krn scr gaji juga generally ga layak, tapi occupy status sosial yg lebih tinggi. Dugaan gw krn bbrapa punya pilihan utk compensate kekurangan ini dgn grants atau proyekan, dan overall lebih mungkin dekat dgn kekuasaan (inside quasi-rents).",Dosen case yg menarik krn scr gaji juga generally ga layak tapi occupy status sosial yg lebih tinggi Dugaan gw krn bbrapa punya pilihan utk compensate kekurangan ini dgn grants atau proyekan dan overall lebih mungkin dekat dgn kekuasaan inside quasi rents,dosen case yg menarik krn scr gaji juga generally ga layak tapi occupy status sosial yg lebih tinggi dugaan gw krn bbrapa punya pilihan utk compensate kekurangan ini dgn grants atau proyekan dan overall lebih mungkin dekat dgn kekuasaan inside quasi rents,dosen case yang menarik karena secara gaji juga generally tidak layak tapi occupy status sosial yang lebih tinggi dugaan gue karena bbrapa punya pilihan untuk compensate kekurangan ini dengan grants atau proyekan dan overall lebih mungkin dekat dengan kekuasaan inside quasi rents,"['yang', 'karena', 'secara', 'tidak', 'yang', 'gue', 'karena', 'untuk', 'dengan', 'dengan']","['yg', 'krn', 'scr', 'ga', 'yg', 'gw', 'krn', 'utk', 'dgn', 'dgn']","[2667696029615725929, 5854122003696798443, -6506411878809088343, -1647583646953850176, 2667696029615725929, -4893450622065866848, 5854122003696798443, 4857388948624358053, -28518359869107684, -28518359869107684]",dosen case yang menarik karena secara gaji juga generally tidak layak tapi occupy status sosial yang lebih tinggi dugaan gue karena bbrapa punya pilihan untuk compensate kekurangan ini dengan grants atau proyekan dan overall lebih mungkin dekat dengan kekuasaan inside quasi rents,interesting case lecturers because salaries are also generally not feasible but higher social status occupy my guess because parents have the option to compensate for this deficiency with grants or proyekan and overall are more likely to be close to the power inside quasi rents,interesting case lecturer because salary are also generally not feasible but higher social status occupy my guess because parents have the option to compensate for this deficiency with grants or proyekan and overall are more likely to be close to the power inside quasi rents,interesting case lecturer salary generally not feasible higher social status occupy guess parents option compensate deficiency grants proyekan overall likely close power inside quasi rents,interest case lecturer salary generally not feasible higher social status occupy guess parent option compensate deficiency grant proyekan overall likely close power inside quasi rent,"['interest', 'case', 'lecturer', 'salary', 'generally', 'not', 'feasible', 'higher', 'social', 'status', 'occupy', 'guess', 'parent', 'option', 'compensate', 'deficiency', 'grant', 'proyekan', 'overall', 'likely', 'close', 'power', 'inside', 'quasi', 'rent']"
Thu Feb 05,13:27:52,"Louderrr pleaseeee, sampe saiki gak ngerti kenopo kabeh uwong nguber dosen dan PNS, tolong enlightme agee opo seng membuat dosen PNS diuber? dengan beban kerja dan mental semono tapi gajine imut, tolongg sopo ae seng dosen PNS dan gak ngersulo ambek gaji",Louderrr pleaseeee sampe saiki gak ngerti kenopo kabeh uwong nguber dosen dan PNS tolong enlightme agee opo seng membuat dosen PNS diuber dengan beban kerja dan mental semono tapi gajine imut tolongg sopo ae seng dosen PNS dan gak ngersulo ambek gaji,louderrr pleaseeee sampe saiki gak ngerti kenopo kabeh uwong nguber dosen dan pns tolong enlightme agee opo seng membuat dosen pns diuber dengan beban kerja dan mental semono tapi gajine imut tolongg sopo ae seng dosen pns dan gak ngersulo ambek gaji,louderrr pleaseeee sampai saiki tidak mengerti kenopo kabeh uwong nguber dosen dan pns tolong enlightme agee opo seng membuat dosen pns diuber dengan beban kerja dan mental semono tapi gajine imut tolongg sopo saja seng dosen pns dan tidak ngersulo ambek gaji,"['sampai', 'tidak', 'mengerti', 'saja', 'tidak']","['sampe', 'gak', 'ngerti', 'ae', 'gak']","[-1504386927938970146, 5298133465934452413, 6498585604598985003, 1709796160715863327, 5298133465934452413]",louderrr pleaseeee sampai saiki tidak mengerti kenopo kabeh uwong nguber dosen dan pns tolong enlightme agee opo seng membuat dosen pns diuber dengan beban kerja dan mental semono tapi gajine imut tolongg sopo saja seng dosen pns dan tidak ngersulo ambek gaji,louderrr pleaseeee until saiki doesn t understand kenopo kabeh uwong nguber lecturers and pns please enlightme agee opo seng make pns lecturers diuber with workload and mental semono but cute gajine help sopo only zinc pns lecturers and not ngersulo ambek salary,louderrr pleaseeee until saiki doesn t understand kenopo kabeh uwong nguber lecturer and status please enlightme agee opo seng make status lecturer diuber with workload and mental semono but cute gajine help sopo only zinc status lecturer and not ngersulo ambek salary,louderrr pleaseeee saiki understand kenopo kabeh uwong nguber lecturer status please enlightme agee opo seng status lecturer diuber workload mental semono cute gajine help sopo zinc status lecturer not ngersulo ambek salary,louderrr pleaseeee saiki understand kenopo kabeh uwong nguber lecturer status please enlightme agee opo seng status lecturer diuber workload mental semono cute gajine help sopo zinc status lecturer not ngersulo ambek salary,"['louderrr', 'pleaseeee', 'saiki', 'understand', 'kenopo', 'kabeh', 'uwong', 'nguber', 'lecturer', 'status', 'please', 'enlightme', 'agee', 'opo', 'seng', 'status', 'lecturer', 'diuber', 'workload', 'mental', 'semono', 'cute', 'gajine', 'help', 'sopo', 'zinc', 'status', 'lecturer', 'not', 'ngersulo', 'ambek', 'salary']"
Thu Feb 05,11:39:52,@kompascom mungkin gaji bapak ini lebih gede dari entry level dosen,mungkin gaji bapak ini lebih gede dari entry level dosen,mungkin gaji bapak ini lebih gede dari entry level dosen,mungkin gaji bapak ini lebih gede dari entry level dosen,[],[],[],mungkin gaji bapak ini lebih gede dari entry level dosen,maybe this father salary is bigger than the lecturer entry level,maybe this father salary is bigger than the lecturer entry level,maybe father salary bigger lecturer entry level,maybe father salary bigger lecturer entry level,"['maybe', 'father', 'salary', 'bigger', 'lecturer', 'entry', 'level']"
Thu Feb 05,05:28:03,"📢PENGUMUMAN BAGI AKUN VERIFIED/CENBLUE:
Mahasiswa yang sedang cari uang jajan tambahan

Kolega dosen yang ingin nambah kesejahteraan

Warga +62 yang masih cari lapangan pekerjaan

yuk kita mutualan, mindos suka bahas:
- promosi kesehatan
- isu kesehatan masyarakat
- review/resume jurnal
- konsul/bimbing skripsian
- per-MBG-an😋
- dll

Silakan reply dan tulis juga niche manteman, nanti mindos follow atau kalau sudah follow insya Allah mindos pasti folback pelan pelan...

-Semangat Kebersamaan-",PENGUMUMAN BAGI AKUN VERIFIED CENBLUE Mahasiswa yang sedang cari uang jajan tambahan Kolega dosen yang ingin nambah kesejahteraan Warga yang masih cari lapangan pekerjaan yuk kita mutualan mindos suka bahas promosi kesehatan isu kesehatan masyarakat review resume jurnal konsul bimbing skripsian per MBG an dll Silakan reply dan tulis juga niche manteman nanti mindos follow atau kalau sudah follow insya Allah mindos pasti folback pelan pelan Semangat Kebersamaan,pengumuman bagi akun verified cenblue mahasiswa yang sedang cari uang jajan tambahan kolega dosen yang ingin nambah kesejahteraan warga yang masih cari lapangan pekerjaan yuk kita mutualan mindos suka bahas promosi kesehatan isu kesehatan masyarakat review resume jurnal konsul bimbing skripsian per mbg an dll silakan reply dan tulis juga niche manteman nanti mindos follow atau kalau sudah follow insya allah mindos pasti folback pelan pelan semangat kebersamaan,pengumuman bagi akun verified cenblue mahasiswa yang sedang cari uang jajan tambahan kolega dosen yang ingin menambah kesejahteraan warga yang masih cari lapangan pekerjaan yuk kita mutualan mindos suka bahas promosi kesehatan isu kesehatan masyarakat review resume jurnal konsultasi bimbing skripsian per mbak an dll silakan reply dan tulis juga niche manteman nanti mindos follow atau kalau sudah follow insya allah mindos pasti folback pelan pelan semangat kebersamaan,"['menambah', 'konsultasi', 'mbak']","['nambah', 'konsul', 'mbg']","[1874438057331676699, 881965731783748420, -5591047361525920525]",pengumuman bagi akun verified cenblue mahasiswa yang sedang cari uang jajan tambahan kolega dosen yang ingin menambah kesejahteraan warga yang masih cari lapangan pekerjaan yuk kita mutualan mindos suka bahas promosi kesehatan isu kesehatan masyarakat review resume jurnal konsultasi bimbing skripsian per mbak an dll silakan reply dan tulis juga niche manteman nanti mindos follow atau kalau sudah follow insya allah mindos pasti folback pelan pelan semangat kebersamaan,announcements for verified accounts cenblue students who are looking for additional pocket money lecturer colleagues who want to improve the welfare of citizens who are still looking for jobs let us mutual mindos like to discuss health promotion public health issues review resumes consulting journals guidance scripts per mbak an etc please reply and write also niche manteman later mindos follow or if you have followed insha allah mindos must be a slow folback in the spirit of togetherness,announcements for verified accounts cenblue students who are looking for additional pocket money lecturer colleagues who want to improve the welfare of citizens who are still looking for jobs let us mutual mindos like to discuss health promotion public health issues review resumes consulting journals guidance scripts per mbak an etc please reply and write also niche manteman later mindos follow or if you have followed insha allah mindos must be a slow folback in the spirit of togetherness,announcements verified accounts cenblue students looking additional pocket money lecturer colleagues improve welfare citizens looking jobs let us mutual mindos discuss health promotion public health issues review resumes consulting journals guidance scripts etc please reply write niche manteman later mindos follow followed insha allah mindos slow folback spirit togetherness,announcement verify account cenblue student look additional pocket money lecturer colleague improve welfare citizen look job let u mutual mindos discus health promotion public health issue review resume consult journal guidance script etc please reply write niche manteman later mindos follow follow insha allah mindos slow folback spirit togetherness,"['announcement', 'verify', 'account', 'cenblue', 'student', 'look', 'additional', 'pocket', 'money', 'lecturer', 'colleague', 'improve', 'welfare', 'citizen', 'look', 'job', 'let', 'u', 'mutual', 'mindos', 'discus', 'health', 'promotion', 'public', 'health', 'issue', 'review', 'resume', 'consult', 'journal', 'guidance', 'script', 'etc', 'please', 'reply', 'write', 'niche', 'manteman', 'later', 'mindos', 'follow', 'follow', 'insha', 'allah', 'mindos', 'slow', 'folback', 'spirit', 'togetherness']"
Thu Feb 05,02:45:31,@sby_workerspt Gaji satpam lebih menarik dari gaji dosen n peneliti... 😅,Gaji satpam lebih menarik dari gaji dosen n peneliti,gaji satpam lebih menarik dari gaji dosen n peneliti,gaji satpam lebih menarik dari gaji dosen peneliti,[],[],[],gaji satpam lebih menarik dari gaji dosen peneliti,security guard salaries are more attractive than the salaries of research lecturers,security guard salary are more attractive than the salary of research lecturer,security guard salary attractive salary research lecturer,security guard salary attractive salary research lecturer,"['security', 'guard', 'salary', 'attractive', 'salary', 'research', 'lecturer']"
Thu Feb 05,01:58:58,"Seorang kawan berkisah kepada kami. Ini kisahnya:

""Tahun 2015, setelah lulus S2,
saya mulai mengajar sebagai dosen tidak tetap.

Gaji pertama: Rp600 ribu/bulan. Bukan angka besar, bahkan jauh dari kata UMR dan belum cukup untuk hidup layak. https://t.co/V6A7hFIbBP",Seorang kawan berkisah kepada kami Ini kisahnya Tahun setelah lulus S2 saya mulai mengajar sebagai dosen tidak tetap Gaji pertama Rp600 ribu bulan Bukan angka besar bahkan jauh dari kata UMR dan belum cukup untuk hidup layak,seorang kawan berkisah kepada kami ini kisahnya tahun setelah lulus s2 saya mulai mengajar sebagai dosen tidak tetap gaji pertama rp600 ribu bulan bukan angka besar bahkan jauh dari kata umr dan belum cukup untuk hidup layak,seorang kawan berkisah kepada kami ini kisahnya tahun setelah lulus s2 saya mulai mengajar sebagai dosen tidak tetap gaji pertama rp600 ribu bulan bukan angka besar bahkan jauh dari kata umr dan belum cukup untuk hidup layak,[],[],[],seorang kawan berkisah kepada kami ini kisahnya tahun setelah lulus master degree saya mulai mengajar sebagai dosen tidak tetap gaji pertama rp600 ribu bulan bukan angka besar bahkan jauh dari kata umr dan belum cukup untuk hidup layak,a friend told us this is the story of the year after graduating with a master degree i started teaching as a non permanent lecturer the first salary of rp600 thousand a month is not a big number even far from the word umr and not enough to live a decent life,a friend told us this is the story of the year after graduating with a master degree i started teaching as a non permanent lecturer the first salary of rp600 thousand a month is not a big number even far from the word umr and not enough to live a decent life,friend told us story graduating master degree started teaching non permanent lecturer salary rp600 thousand month not big number far word umr not enough live decent life,friend tell u story graduate master degree start teach non permanent lecturer salary rp600 thousand month not big number far word umr not enough live decent life,"['friend', 'tell', 'u', 'story', 'graduate', 'master', 'degree', 'start', 'teach', 'non', 'permanent', 'lecturer', 'salary', 'rp600', 'thousand', 'month', 'not', 'big', 'number', 'far', 'word', 'umr', 'not', 'enough', 'live', 'decent', 'life']"
Wed Feb 04,16:32:00,"@kompascom tapi tapi loker dosen banyak bgt padahal 🥲 ya start awalnya gaji kecil nan mungiel dlu sih, kalo mau keterima di kampus top agaknya berat😔 mulai dr kampus kecil dulu aja mas.",tapi tapi loker dosen banyak bgt padahal ya start awalnya gaji kecil nan mungiel dlu sih kalo mau keterima di kampus top agaknya berat mulai dr kampus kecil dulu aja mas,tapi tapi loker dosen banyak bgt padahal ya start awalnya gaji kecil nan mungiel dlu sih kalo mau keterima di kampus top agaknya berat mulai dr kampus kecil dulu aja mas,tapi tapi loker dosen banyak banget padahal ya start awalnya gaji kecil nan mungiel dulu sih kalau mau keterima di kampus top agaknya berat mulai dari kampus kecil dulu saja mas,"['banget', 'dulu', 'kalau', 'dari', 'saja']","['bgt', 'dlu', 'kalo', 'dr', 'aja']","[-5708424681339340746, -7606486677574319169, -5384489139719775461, -2363237477969725205, -5214622237750482465]",tapi tapi loker dosen banyak banget padahal ya start awalnya gaji kecil nan mungiel dulu sih kalau mau keterima di kampus top agaknya berat mulai dari kampus kecil dulu saja mas,but but there are so many lecturer lockers even though the initial start was a small salary so if you want to get accepted at the top campus it seems like it hard to start from a small campus first mas,but but there are so many lecturer lockers even though the initial start was a small salary so if you want to get accepted at the top institution it seems like it hard to start from a small institution first mas,lecturer lockers initial start salary accepted top institution seems hard start institution mas,lecturer locker initial start salary accept top institution seem hard start institution ma,"['lecturer', 'locker', 'initial', 'start', 'salary', 'accept', 'top', 'institution', 'seem', 'hard', 'start', 'institution', 'ma']"
Wed Feb 04,15:42:37,"Bisa jadi satpam nyambi dosen, gaji satpam UMR, gaji dosen start 1/2 UMR @direktoridosen",Bisa jadi satpam nyambi dosen gaji satpam UMR gaji dosen start UMR,bisa jadi satpam nyambi dosen gaji satpam umr gaji dosen start umr,bisa jadi satpam nyambi dosen gaji satpam umr gaji dosen start umr,[],[],[],bisa jadi satpam nyambi dosen gaji satpam umr gaji dosen start umr,it could be a security guard occupying a lecturer salary security guards umr the salary of a lecturer start umr,it could be a security guard occupying a lecturer salary security guards umr the salary of a lecturer start umr,security guard occupying lecturer salary security guards umr salary lecturer start umr,security guard occupy lecturer salary security guard umr salary lecturer start umr,"['security', 'guard', 'occupy', 'lecturer', 'salary', 'security', 'guard', 'umr', 'salary', 'lecturer', 'start', 'umr']"
Wed Feb 04,13:39:06,"REALLLL FACT FACTTT

GAJI DOSEN YG MUNGIEL BERHADAPAN DENGAN BIAYA PUBLIKASI YG ASDFKFSLKAANAALAO",REALLLL FACT FACTTT GAJI DOSEN YG MUNGIEL BERHADAPAN DENGAN BIAYA PUBLIKASI YG ASDFKFSLKAANAALAO,reallll fact facttt gaji dosen yg mungiel berhadapan dengan biaya publikasi yg asdfkfslkaanaalao,reallll fact facttt gaji dosen yang mungiel berhadapan dengan biaya publikasi yang asdfkfslkaanaalao,"['yang', 'yang']","['yg', 'yg']","[2667696029615725929, 2667696029615725929]",reallll fact facttt gaji dosen yang mungiel berhadapan dengan biaya publikasi yang asdfkfslkaanaalao,reallll facttt salaries of lecturers who are mungiel faced with asdfkfslkaanaalao publication costs,reallll facttt salary of lecturer who are mungiel faced with asdfkfslkaanaalao publication costs,reallll facttt salary lecturer mungiel faced asdfkfslkaanaalao publication costs,reallll facttt salary lecturer mungiel face asdfkfslkaanaalao publication cost,"['reallll', 'facttt', 'salary', 'lecturer', 'mungiel', 'face', 'asdfkfslkaanaalao', 'publication', 'cost']"
Wed Feb 04,04:25:12,@tanyakanrl Sama nder kuncinya ikhlas dan bersyukur. Aku gaji honorer 600k tp pengeluaran bisa lebih dr 600k karena kadang dimintain tolong dosen bantu penelitian dan jd tim akreditasi kampus,Sama nder kuncinya ikhlas dan bersyukur Aku gaji honorer 600k tp pengeluaran bisa lebih dr 600k karena kadang dimintain tolong dosen bantu penelitian dan jd tim akreditasi kampus,sama nder kuncinya ikhlas dan bersyukur aku gaji honorer 600k tp pengeluaran bisa lebih dr 600k karena kadang dimintain tolong dosen bantu penelitian dan jd tim akreditasi kampus,sama nder kuncinya ikhlas dan bersyukur aku gaji honorer 600k tapi pengeluaran bisa lebih dari 600k karena kadang dimintain tolong dosen bantu penelitian dan jadi tim akreditasi kampus,"['tapi', 'dari', 'jadi']","['tp', 'dr', 'jd']","[1227257789550043324, -2363237477969725205, 8401788726811304353]",sama nder kuncinya ikhlas dan bersyukur aku gaji honorer 600k tapi pengeluaran bisa lebih dari 600k karena kadang dimintain tolong dosen bantu penelitian dan jadi tim akreditasi kampus,same nder the key is sincere and grateful that i have an honorary salary of 600k but the expenditure can be more than 600k because sometimes the lecturer is asked to help with research and become a campus accreditation team,same nder the key is sincere and grateful that i have an salary salary of 600k but the expenditure can be more than 600k because sometimes the lecturer is asked to help with research and become a institution accreditation team,nder key sincere grateful salary salary 600k expenditure 600k sometimes lecturer asked help research institution accreditation team,nder key sincere grateful salary salary 600k expenditure 600k sometimes lecturer ask help research institution accreditation team,"['nder', 'key', 'sincere', 'grateful', 'salary', 'salary', '600k', 'expenditure', '600k', 'sometimes', 'lecturer', 'ask', 'help', 'research', 'institution', 'accreditation', 'team']"
Wed Feb 04,03:20:11,"Kementerian Pendidikan Tinggi, Sains, dan Teknologi (Kemendiktisaintek) resmi menetapkan kebijakan baru terkait peningkatan kesejahteraan tenaga pendidik dan peneliti. Mulai tahun 2026, alokasi honorarium bagi dosen dan peneliti akan dinaikkan hingga maksimal 25 persen dari total dana riset yang diterima. Menteri Pendidikan Tinggi, Sains, dan Teknologi (Mendiktisaintek), Brian Yuliarto, menyampaikan bahwa kebijakan ini bertujuan untuk memberikan apresiasi yang lebih layak bagi para akademisi yang terlibat dalam pengembangan inovasi nasional.

#Mendiktisaintek #BrianYuliarto #Dosen #MetroTV",Kementerian Pendidikan Tinggi Sains dan Teknologi Kemendiktisaintek resmi menetapkan kebijakan baru terkait peningkatan kesejahteraan tenaga pendidik dan peneliti Mulai tahun alokasi honorarium bagi dosen dan peneliti akan dinaikkan hingga maksimal persen dari total dana riset yang diterima Menteri Pendidikan Tinggi Sains dan Teknologi Mendiktisaintek Brian Yuliarto menyampaikan bahwa kebijakan ini bertujuan untuk memberikan apresiasi yang lebih layak bagi para akademisi yang terlibat dalam pengembangan inovasi nasional Mendiktisaintek BrianYuliarto Dosen MetroTV,kementerian pendidikan tinggi sains dan teknologi kemendiktisaintek resmi menetapkan kebijakan baru terkait peningkatan kesejahteraan tenaga pendidik dan peneliti mulai tahun alokasi honorarium bagi dosen dan peneliti akan dinaikkan hingga maksimal persen dari total dana riset yang diterima menteri pendidikan tinggi sains dan teknologi mendiktisaintek brian yuliarto menyampaikan bahwa kebijakan ini bertujuan untuk memberikan apresiasi yang lebih layak bagi para akademisi yang terlibat dalam pengembangan inovasi nasional mendiktisaintek brianyuliarto dosen metrotv,kementerian pendidikan tinggi sains dan teknologi kemendiktisaintek resmi menetapkan kebijakan baru terkait peningkatan kesejahteraan tenaga pendidik dan peneliti mulai tahun alokasi honorarium bagi dosen dan peneliti akan dinaikkan hingga maksimal persen dari total dana riset yang diterima menteri pendidikan tinggi sains dan teknologi mendiktisaintek brian yuliarto menyampaikan bahwa kebijakan ini bertujuan untuk memberikan apresiasi yang lebih layak bagi para akademisi yang terlibat dalam pengembangan inovasi nasional mendiktisaintek brianyuliarto dosen metrotv,[],[],[],kementerian pendidikan tinggi sains dan teknologi kemendiktisaintek resmi menetapkan kebijakan baru terkait peningkatan kesejahteraan tenaga pendidik dan peneliti mulai tahun alokasi honorarium bagi dosen dan peneliti akan dinaikkan hingga maksimal persen dari total dana riset yang diterima menteri pendidikan tinggi sains dan teknologi mendiktisaintek brian yuliarto menyampaikan bahwa kebijakan ini bertujuan untuk memberikan apresiasi yang lebih layak bagi para akademisi yang terlibat dalam pengembangan inovasi nasional mendiktisaintek brianyuliarto dosen metrotv,the ministry of higher education science and technology dictatorship officially set a new policy related to improving the welfare of educators and researchers starting from the year the allocation of honorariums for lecturers and researchers will be increased to a maximum of percent of the total research funds received by the minister of higher education science and technology dictatorship brian yuliarto said that this policy aims to provide more appropriate appreciation for the academics involved in the development of national innovation dictatorship brianyuliarto lecturer metrotv,the ministry of higher education science and technology dictatorship officially set a new policy related to improving the welfare of lecturer and researchers starting from the year the allocation of salary for lecturer and researchers will be increased to a maximum of percent of the total research funds received by the minister of higher education science and technology dictatorship brian yuliarto said that this policy aims to provide more appropriate appreciation for the lecturer involved in the development of national innovation dictatorship brianyuliarto lecturer metrotv,ministry higher education science technology dictatorship officially set new policy related improving welfare lecturer researchers starting allocation salary lecturer researchers increased maximum percent total research funds received minister higher education science technology dictatorship brian yuliarto policy aims provide appropriate appreciation lecturer involved development national innovation dictatorship brianyuliarto lecturer metrotv,ministry higher education science technology dictatorship officially set new policy relate improve welfare lecturer researcher start allocation salary lecturer researcher increase maximum percent total research fund receive minister higher education science technology dictatorship brian yuliarto policy aim provide appropriate appreciation lecturer involve development national innovation dictatorship brianyuliarto lecturer metrotv,"['ministry', 'higher', 'education', 'science', 'technology', 'dictatorship', 'officially', 'set', 'new', 'policy', 'relate', 'improve', 'welfare', 'lecturer', 'researcher', 'start', 'allocation', 'salary', 'lecturer', 'researcher', 'increase', 'maximum', 'percent', 'total', 'research', 'fund', 'receive', 'minister', 'higher', 'education', 'science', 'technology', 'dictatorship', 'brian', 'yuliarto', 'policy', 'aim', 'provide', 'appropriate', 'appreciation', 'lecturer', 'involve', 'development', 'national', 'innovation', 'dictatorship', 'brianyuliarto', 'lecturer', 'metrotv']"
