tanggal,waktu,text,cleaning,case_folding,normalisasi,kata_baku,kata_tidak_baku,kata_Tidak_Baku_hash,normalisasi_fixed,translated_text,synonym,stopword_removal,tokenize,final_word_count
Sat May 16,19:46:10,"@Yang_MuliaPAP artis2 dan buzzerrp ngarep Nadiem biar kayak Tom Lembong...padahal dosanya pendidikan di era dia banyak bgt..tanggung jawab!!..guru di buat kayak gojek dimasukkin aplikasi, bodo amat kesejahteraan guru-dosen, tukin dosen tdk dianggarkan dan tdk dibayar, kurikulum kacau....",artis2 dan buzzerrp ngarep Nadiem biar kayak Tom Lembong padahal dosanya pendidikan di era dia banyak bgt tanggung jawab guru di buat kayak gojek dimasukkin aplikasi bodo amat kesejahteraan guru dosen tukin dosen tdk dianggarkan dan tdk dibayar kurikulum kacau,artis2 dan buzzerrp ngarep nadiem biar kayak tom lembong padahal dosanya pendidikan di era dia banyak bgt tanggung jawab guru di buat kayak gojek dimasukkin aplikasi bodo amat kesejahteraan guru dosen tukin dosen tdk dianggarkan dan tdk dibayar kurikulum kacau,artis-artis dan buzzerrp mengharap nadiem biar kayak tom lembong padahal dosanya pendidikan di era dia banyak banget tanggung jawab guru di buat kayak gojek dimasukkin aplikasi bodo amat kesejahteraan guru dosen tukin dosen tidak dianggarkan dan tidak dibayar kurikulum kacau,"['artis-artis', 'mengharap', 'banget', 'tidak', 'tidak']","['artis2', 'ngarep', 'bgt', 'tdk', 'tdk']","[550235408516271991, 2181833006045464328, -8322724488752483880, 4674484082695111210, 4674484082695111210]",artis-artis dan buzzerrp mengharap nadiem biar kayak tom lembong padahal dosanya pendidikan di era dia banyak banget tanggung jawab guru di buat kayak gojek dimasukkin aplikasi bodo amat kesejahteraan guru dosen tukin dosen tidak dianggarkan dan tidak dibayar kurikulum kacau,artists and buzzerrp hope that nadeem will be like tom lembong even though the sin of education in his era was that many teachers responsibilities were made like gojek including stupid applications teacher welfare tukin lecturers lecturers were not budgeted for and were not paid the curriculum was chaotic,artists and buzzerrp hope that nadeem will be like tom lembong even though the sin of education in his era was that many lecturer responsibilities were made like gojek including stupid applications lecturer welfare salary lecturer lecturer were not budgeted for and were not salary the curriculum was chaotic,artists buzzerrp hope nadeem tom lembong sin education era lecturer responsibilities gojek including stupid applications lecturer welfare salary lecturer lecturer budgeted salary curriculum chaotic,"['artists', 'buzzerrp', 'hope', 'nadeem', 'tom', 'lembong', 'sin', 'education', 'era', 'lecturer', 'responsibilities', 'gojek', 'including', 'stupid', 'applications', 'lecturer', 'welfare', 'salary', 'lecturer', 'lecturer', 'budgeted', 'salary', 'curriculum', 'chaotic']",24
Sat May 16,11:24:39,"@asvillainn @phokyuki Denger-denger gaji dosen juga dikit ya, trs UKT itu larinya kemana nanti?",Denger denger gaji dosen juga dikit ya trs UKT itu larinya kemana nanti,denger denger gaji dosen juga dikit ya trs ukt itu larinya kemana nanti,dengar dengar gaji dosen juga dikit ya terus ukt itu larinya kemana nanti,"['dengar', 'dengar', 'terus']","['denger', 'denger', 'trs']","[-4662037998567420591, -4662037998567420591, 9013739773886791203]",dengar dengar gaji dosen juga dikit ya terus ukt itu larinya kemana nanti,i ve heard that lecturers salaries are also small so where will the ukt go next,i ve heard that lecturer salary are also small so where will the ukt go next,heard lecturer salary ukt next,"['heard', 'lecturer', 'salary', 'ukt', 'next']",5
Sat May 16,10:25:36,@abulmuzaffar10 @ridwanhr Masih belum sadar juga bahwa si nadiem nih bermasalah. Ngurus gaji aja ga becus apalagi administrasi pengadaan. Kebodohan dia berdampak ke dalam memperkaya orng lain. Spt kebodohan dia terkait tukin sama dengan menyengsarakan dosen. Usulan chrmbk di tolak malah maksain,Masih belum sadar juga bahwa si nadiem nih bermasalah Ngurus gaji aja ga becus apalagi administrasi pengadaan Kebodohan dia berdampak ke dalam memperkaya orng lain Spt kebodohan dia terkait tukin sama dengan menyengsarakan dosen Usulan chrmbk di tolak malah maksain,masih belum sadar juga bahwa si nadiem nih bermasalah ngurus gaji aja ga becus apalagi administrasi pengadaan kebodohan dia berdampak ke dalam memperkaya orng lain spt kebodohan dia terkait tukin sama dengan menyengsarakan dosen usulan chrmbk di tolak malah maksain,masih belum sadar juga bahwa sih nadiem nih bermasalah mengurus gaji saja tidak becus apalagi administrasi pengadaan kebodohan dia berdampak ke dalam memperkaya orang lain seperti kebodohan dia terkait tukin sama dengan menyengsarakan dosen usulan chrmbk di tolak malah memaksakan,"['sih', 'mengurus', 'saja', 'tidak', 'orang', 'seperti', 'memaksakan']","['si', 'ngurus', 'aja', 'ga', 'orng', 'spt', 'maksain']","[1324855393825591722, -822172467216371952, 3102073081575664814, -6394627196483031571, 6027192728469982592, 5204993307666226209, 3460979858569453988]",masih belum sadar juga bahwa sih nadiem nih bermasalah mengurus gaji saja tidak becus apalagi administrasi pengadaan kebodohan dia berdampak ke dalam memperkaya orang lain seperti kebodohan dia terkait tukin sama dengan menyengsarakan dosen usulan chrmbk di tolak malah memaksakan,i still don t realize that nadeem has a problem with managing salaries he incompetent let alone administering procurement his stupidity has an impact on enriching other people like his stupidity regarding tukin which is the same as causing misery to lecturers the chrmbk proposal was rejected but instead forced it,i still don t realize that nadeem has a problem with managing salary he incompetent let alone administering procurement his stupidity has an impact on enriching other people like his stupidity regarding salary which is the same as causing misery to lecturer the chrmbk proposal was rejected but instead forced it,realize nadeem problem managing salary incompetent let alone administering procurement stupidity impact enriching stupidity regarding salary causing misery lecturer chrmbk proposal rejected instead forced,"['realize', 'nadeem', 'problem', 'managing', 'salary', 'incompetent', 'let', 'alone', 'administering', 'procurement', 'stupidity', 'impact', 'enriching', 'stupidity', 'regarding', 'salary', 'causing', 'misery', 'lecturer', 'chrmbk', 'proposal', 'rejected', 'instead', 'forced']",24
Sat May 16,05:38:21,"@direktoridosen Tukin dosen sampai saat ini menyisakan polemik. Selain serdos yg 1x gaji pokok, dosen punya hak tukin.  berbagai kampus,   kemampuannya berbeda membayar tukin, karena mereka sudah memilih mandiri, punya kemampuan keuangan sendiri, berbeda kemampuan membayar, yg jadi kecemburuan.",Tukin dosen sampai saat ini menyisakan polemik Selain serdos yg 1x gaji pokok dosen punya hak tukin berbagai kampus kemampuannya berbeda membayar tukin karena mereka sudah memilih mandiri punya kemampuan keuangan sendiri berbeda kemampuan membayar yg jadi kecemburuan,tukin dosen sampai saat ini menyisakan polemik selain serdos yg 1x gaji pokok dosen punya hak tukin berbagai kampus kemampuannya berbeda membayar tukin karena mereka sudah memilih mandiri punya kemampuan keuangan sendiri berbeda kemampuan membayar yg jadi kecemburuan,tukin dosen sampai saat ini menyisakan polemik selain serdos yang 1x gaji pokok dosen punya hak tukin berbagai kampus kemampuannya berbeda membayar tukin karena mereka sudah memilih mandiri punya kemampuan keuangan sendiri berbeda kemampuan membayar yang jadi kecemburuan,"['yang', 'yang']","['yg', 'yg']","[6026876920451960175, 6026876920451960175]",tukin dosen sampai saat ini menyisakan polemik selain serdos yang 1x gaji pokok dosen punya hak tukin berbagai kampus kemampuannya berbeda membayar tukin karena mereka sudah memilih mandiri punya kemampuan keuangan sendiri berbeda kemampuan membayar yang jadi kecemburuan,until now lecturer tuition has left a polemic other than serdos which is 1x the basic salary lecturers have tukin rights various campuses have different abilities to pay tukin because they have chosen to be independent have their own financial capabilities different ability to pay which has become jealousy,until now lecturer tuition has left a polemic other than serdos which is 1x the basic salary lecturer have salary rights various institution have different abilities to salary salary because they have chosen to be independent have their own financial capabilities different ability to salary which has become jealousy,lecturer tuition left polemic serdos 1x basic salary lecturer salary rights various institution different abilities salary salary chosen independent financial capabilities different ability salary jealousy,"['lecturer', 'tuition', 'left', 'polemic', 'serdos', '1x', 'basic', 'salary', 'lecturer', 'salary', 'rights', 'various', 'institution', 'different', 'abilities', 'salary', 'salary', 'chosen', 'independent', 'financial', 'capabilities', 'different', 'ability', 'salary', 'jealousy']",25
Sat May 16,05:38:20,"@bluesman_mr @id_def_report @abulmuzaffar10 "".. baru bisa didapat 4 tahun setelah jd dosen""

Tuh gw perjelas, takut lo bacanya susah. Jd menurut lo dosennya disuruh nrimo ing punkdumb aja gitu gaji di bawah umr selama 4 tahun gitu?",baru bisa didapat tahun setelah jd dosen Tuh gw perjelas takut lo bacanya susah Jd menurut lo dosennya disuruh nrimo ing punkdumb aja gitu gaji di bawah umr selama tahun gitu,baru bisa didapat tahun setelah jd dosen tuh gw perjelas takut lo bacanya susah jd menurut lo dosennya disuruh nrimo ing punkdumb aja gitu gaji di bawah umr selama tahun gitu,baru bisa didapat tahun setelah jadi dosen tuh gue perjelas takut lo bacanya susah jadi menurut lo dosennya disuruh nrimo ing punkdumb saja begitu gaji di bawah umr selama tahun begitu,"['jadi', 'gue', 'jadi', 'saja', 'begitu', 'begitu']","['jd', 'gw', 'jd', 'aja', 'gitu', 'gitu']","[-178205850972972229, 574503688437735715, -178205850972972229, 3102073081575664814, 8875302584390567392, 8875302584390567392]",baru bisa didapat tahun setelah jadi dosen tuh gue perjelas takut lo bacanya susah jadi menurut lo dosennya disuruh nrimo ing punkdumb saja begitu gaji di bawah umr selama tahun begitu,you can only get it the year after you become a lecturer i ll explain that i m afraid it difficult for you to read so according to you the lecturers are told to just wait for ing punkdumb so the salary is below the minimum wage during that year,you can only get it the year after you become a lecturer i ll explain that i m afraid it difficult for you to read so according to you the lecturer are told to just wait for ing punkdumb so the salary is below the minimum salary during that year,lecturer explain afraid difficult read according lecturer told wait ing punkdumb salary minimum salary,"['lecturer', 'explain', 'afraid', 'difficult', 'read', 'according', 'lecturer', 'told', 'wait', 'ing', 'punkdumb', 'salary', 'minimum', 'salary']",14
Sat May 16,04:10:53,"@abulmuzaffar10 Betul banget. Tukin dosen gagal total gara-gara kelalaian admin Nadiem, Ombudsman udah buktiin. Gaji mentok 3jt doang, wajar dosen pada marah. 

Tapi tetep bedain sama kasus chromebook ya, jangan dicampur aduk. Kebijakan jelek ga harus dibela mati-matian.",Betul banget Tukin dosen gagal total gara gara kelalaian admin Nadiem Ombudsman udah buktiin Gaji mentok 3jt doang wajar dosen pada marah Tapi tetep bedain sama kasus chromebook ya jangan dicampur aduk Kebijakan jelek ga harus dibela mati matian,betul banget tukin dosen gagal total gara gara kelalaian admin nadiem ombudsman udah buktiin gaji mentok 3jt doang wajar dosen pada marah tapi tetep bedain sama kasus chromebook ya jangan dicampur aduk kebijakan jelek ga harus dibela mati matian,betul banget tukin dosen gagal total gara gara kelalaian admin nadiem ombudsman sudah membuktikan gaji mentok 3jt doang wajar dosen pada marah tapi tetap membedakan sama kasus chromebook ya jangan dicampur aduk kebijakan jelek tidak harus dibela mati matian,"['sudah', 'membuktikan', 'tetap', 'membedakan', 'tidak']","['udah', 'buktiin', 'tetep', 'bedain', 'ga']","[-4375945338045552653, 177783571902749854, 277338943893978153, -8529579190064011559, -6394627196483031571]",betul banget tukin dosen gagal total gara gara kelalaian admin nadiem ombudsman sudah membuktikan gaji mentok 3jt doang wajar dosen pada marah tapi tetap membedakan sama kasus chromebook ya jangan dicampur aduk kebijakan jelek tidak harus dibela mati matian,it really true that lecturers have failed miserably because of the admin negligence nadeem ombudsman has proven that salaries are stuck at 3 million it normal for lecturers to be angry but they still differentiate between chromebook cases don t mix them up bad policies don t have to be defended tooth and nail,it really true that lecturer have failed miserably because of the admin negligence nadeem ombudsman has proven that salary are stuck at 3 million it normal for lecturer to be angry but they still differentiate between chromebook cases don t mix them up bad policies don t have to be defended tooth and nail,true lecturer failed miserably admin negligence nadeem ombudsman proven salary stuck million normal lecturer angry differentiate chromebook cases mix bad policies defended tooth nail,"['true', 'lecturer', 'failed', 'miserably', 'admin', 'negligence', 'nadeem', 'ombudsman', 'proven', 'salary', 'stuck', 'million', 'normal', 'lecturer', 'angry', 'differentiate', 'chromebook', 'cases', 'mix', 'bad', 'policies', 'defended', 'tooth', 'nail']",24
Sat May 16,03:24:28,"@abulmuzaffar10 Intinya ketika pengusaha jadi mentri pendidikan yang akan dilakukan bagaimana cara menambah pundi2 uang pribadinya, bukan untuk kesejahteraan  guru dan dosen apalagi untuk kemajuan pendidikan. itu fakta.",Intinya ketika pengusaha jadi mentri pendidikan yang akan dilakukan bagaimana cara menambah pundi2 uang pribadinya bukan untuk kesejahteraan guru dan dosen apalagi untuk kemajuan pendidikan itu fakta,intinya ketika pengusaha jadi mentri pendidikan yang akan dilakukan bagaimana cara menambah pundi2 uang pribadinya bukan untuk kesejahteraan guru dan dosen apalagi untuk kemajuan pendidikan itu fakta,intinya ketika pengusaha jadi mentri pendidikan yang akan dilakukan bagaimana cara menambah pundi2 uang pribadinya bukan untuk kesejahteraan guru dan dosen apalagi untuk kemajuan pendidikan itu fakta,[],[],[],intinya ketika pengusaha jadi mentri pendidikan yang akan dilakukan bagaimana cara menambah pundi2 uang pribadinya bukan untuk kesejahteraan guru dan dosen apalagi untuk kemajuan pendidikan itu fakta,the point is when an entrepreneur becomes the minister of education what he will do is increase his personal coffers not for the welfare of teachers and lecturers let alone for the advancement of education that a fact,the point is when an entrepreneur becomes the minister of education what he will do is increase his personal coffers not for the welfare of lecturer and lecturer let alone for the advancement of education that a fact,point entrepreneur becomes minister education increase personal coffers welfare lecturer lecturer let alone advancement education fact,"['point', 'entrepreneur', 'becomes', 'minister', 'education', 'increase', 'personal', 'coffers', 'welfare', 'lecturer', 'lecturer', 'let', 'alone', 'advancement', 'education', 'fact']",16
Sat May 16,02:55:07,"Disclaimer. Gw tidak pro kriminalisasi Nadiem. Harus dipisahkan antara kebijakannya dengan kasusnya.

Kebijakannya bermasalah dan destruktif terutama soal kesejahteraan dosen

Adapun soal kasus chromebook, gw menentang nadiem dikriminalisasi. Gw serahkan semuanya ke putusan pengadilan. Yg penting, kasus itu pokoknya harus diadili dengan benar sesuai asas hukum pidana dan asas hukum acara.",Disclaimer Gw tidak pro kriminalisasi Nadiem Harus dipisahkan antara kebijakannya dengan kasusnya Kebijakannya bermasalah dan destruktif terutama soal kesejahteraan dosen Adapun soal kasus chromebook gw menentang nadiem dikriminalisasi Gw serahkan semuanya ke putusan pengadilan Yg penting kasus itu pokoknya harus diadili dengan benar sesuai asas hukum pidana dan asas hukum acara,disclaimer gw tidak pro kriminalisasi nadiem harus dipisahkan antara kebijakannya dengan kasusnya kebijakannya bermasalah dan destruktif terutama soal kesejahteraan dosen adapun soal kasus chromebook gw menentang nadiem dikriminalisasi gw serahkan semuanya ke putusan pengadilan yg penting kasus itu pokoknya harus diadili dengan benar sesuai asas hukum pidana dan asas hukum acara,disclaimer gue tidak pro kriminalisasi nadiem harus dipisahkan antara kebijakannya dengan kasusnya kebijakannya bermasalah dan destruktif terutama soal kesejahteraan dosen adapun soal kasus chromebook gue menentang nadiem dikriminalisasi gue serahkan semuanya ke putusan pengadilan yang penting kasus itu pokoknya harus diadili dengan benar sesuai asas hukum pidana dan asas hukum acara,"['gue', 'gue', 'gue', 'yang']","['gw', 'gw', 'gw', 'yg']","[574503688437735715, 574503688437735715, 574503688437735715, 6026876920451960175]",disclaimer gue tidak pro kriminalisasi nadiem harus dipisahkan antara kebijakannya dengan kasusnya kebijakannya bermasalah dan destruktif terutama soal kesejahteraan dosen adapun soal kasus chromebook gue menentang nadiem dikriminalisasi gue serahkan semuanya ke putusan pengadilan yang penting kasus itu pokoknya harus diadili dengan benar sesuai asas hukum pidana dan asas hukum acara,disclaimer i am not in favor of criminalizing nadem the policy must be separated from the case the policy is problematic and destructive especially regarding the welfare of lecturers as for the chromebook case i am against the criminalization of nadem i leave everything to the court decision the important thing is that the case must be tried properly in accordance with the principles of criminal law and the principles of procedural law,disclaimer i am not in favor of criminalizing nadem the policy must be separated from the case the policy is problematic and destructive especially regarding the welfare of lecturer as for the chromebook case i am against the criminalization of nadem i leave everything to the court decision the important thing is that the case must be tried properly in accordance with the principles of criminal law and the principles of procedural law,disclaimer favor criminalizing nadem policy separated case policy problematic destructive especially regarding welfare lecturer chromebook case criminalization nadem leave everything court decision important thing case tried properly accordance principles criminal law principles procedural law,"['disclaimer', 'favor', 'criminalizing', 'nadem', 'policy', 'separated', 'case', 'policy', 'problematic', 'destructive', 'especially', 'regarding', 'welfare', 'lecturer', 'chromebook', 'case', 'criminalization', 'nadem', 'leave', 'everything', 'court', 'decision', 'important', 'thing', 'case', 'tried', 'properly', 'accordance', 'principles', 'criminal', 'law', 'principles', 'procedural', 'law']",34
Sat May 16,02:27:28,Trs orang2 pada bilang gaji dosen dan guru bukan wewenang ngadem. Liat tuh bahlil bisa naikin gaji anak buahnya. Tinggal menterinya mau apa engga mengusahakan ke atas.,Trs orang2 pada bilang gaji dosen dan guru bukan wewenang ngadem Liat tuh bahlil bisa naikin gaji anak buahnya Tinggal menterinya mau apa engga mengusahakan ke atas,trs orang2 pada bilang gaji dosen dan guru bukan wewenang ngadem liat tuh bahlil bisa naikin gaji anak buahnya tinggal menterinya mau apa engga mengusahakan ke atas,terus orang-orang pada bilang gaji dosen dan guru bukan wewenang ngadem lihat tuh bahlil bisa naikin gaji anak buahnya tinggal menterinya mau apa tidak mengusahakan ke atas,"['terus', 'orang-orang', 'lihat', 'tidak']","['trs', 'orang2', 'liat', 'engga']","[9013739773886791203, 7346242891914419419, 3893175954263624634, -767113032954660927]",terus orang-orang pada bilang gaji dosen dan guru bukan wewenang ngadem lihat tuh bahlil bisa naikin gaji anak buahnya tinggal menterinya mau apa tidak mengusahakan ke atas,people keep saying that the salaries of lecturers and teachers are not in the authority of cool look at that you can increase the salaries of your subordinates it up to the minister to try to increase it or not,people keep saying that the salary of lecturer and lecturer are not in the authority of cool look at that you can increase the salary of your subordinates it up to the minister to try to increase it or not,keep saying salary lecturer lecturer authority cool look increase salary subordinates minister try increase,"['keep', 'saying', 'salary', 'lecturer', 'lecturer', 'authority', 'cool', 'look', 'increase', 'salary', 'subordinates', 'minister', 'try', 'increase']",14
Sat May 16,02:25:12,"@abulmuzaffar10 Ini bener pak, sy sempet kaget waktu temen sy curhat istrinya marah2 karena keuangan kurang. Barulah sy tahu dia gaji 3 juta dan sertifikasi dosen baru bisa didapat 4 tahun setelah jd dosen. Padahal dia PhD luar negeri.",Ini bener pak sy sempet kaget waktu temen sy curhat istrinya marah2 karena keuangan kurang Barulah sy tahu dia gaji juta dan sertifikasi dosen baru bisa didapat tahun setelah jd dosen Padahal dia PhD luar negeri,ini bener pak sy sempet kaget waktu temen sy curhat istrinya marah2 karena keuangan kurang barulah sy tahu dia gaji juta dan sertifikasi dosen baru bisa didapat tahun setelah jd dosen padahal dia phd luar negeri,ini benar pak saya sempat kaget waktu teman saya curhat istrinya marah-marah karena keuangan kurang barulah saya tahu dia gaji juta dan sertifikasi dosen baru bisa didapat tahun setelah jadi dosen padahal dia phd luar negeri,"['benar', 'saya', 'sempat', 'teman', 'saya', 'marah-marah', 'saya', 'jadi']","['bener', 'sy', 'sempet', 'temen', 'sy', 'marah2', 'sy', 'jd']","[8239515835078059901, -3711885748069150730, -1464963072965476922, -6508524855039608221, -3711885748069150730, -831539777580150594, -3711885748069150730, -178205850972972229]",ini benar pak saya sempat kaget waktu teman saya curhat istrinya marah-marah karena keuangan kurang barulah saya tahu dia gaji juta dan sertifikasi dosen baru bisa didapat tahun setelah jadi dosen padahal dia phd luar negeri,this is true sir i was shocked when my friend told me that his wife was angry because of lack of finances then i found out that he had a salary of millions and that he could only get lecturer certification a year after becoming a lecturer even though he had a phd abroad,this is true sir i was shocked when my friend told me that his wife was angry because of lack of finances then i found out that he had a salary of millions and that he could only get lecturer certification a year after becoming a lecturer even though he had a phd abroad,true shocked friend told wife angry lack finances found salary millions lecturer certification becoming lecturer phd abroad,"['true', 'shocked', 'friend', 'told', 'wife', 'angry', 'lack', 'finances', 'found', 'salary', 'millions', 'lecturer', 'certification', 'becoming', 'lecturer', 'phd', 'abroad']",17
Sat May 16,02:05:02,"@pardonletme @cherubbie daripada chromebook, NM lebih layak diadili karena di periode dia (dari 2020), tukin dosen ga turun

gimana pendidikan mau maju kalo kesejahteraan tendiknya tidak dipikirkan",daripada chromebook NM lebih layak diadili karena di periode dia dari tukin dosen ga turun gimana pendidikan mau maju kalo kesejahteraan tendiknya tidak dipikirkan,daripada chromebook nm lebih layak diadili karena di periode dia dari tukin dosen ga turun gimana pendidikan mau maju kalo kesejahteraan tendiknya tidak dipikirkan,daripada chromebook nama lebih layak diadili karena di periode dia dari tukin dosen tidak turun bagaimana pendidikan mau maju kalau kesejahteraan tendiknya tidak dipikirkan,"['nama', 'tidak', 'bagaimana', 'kalau']","['nm', 'ga', 'gimana', 'kalo']","[9153348109762482179, -6394627196483031571, -6553119271696507152, -251589963927279761]",daripada chromebook nama lebih layak diadili karena di periode dia dari tukin dosen tidak turun bagaimana pendidikan mau maju kalau kesejahteraan tendiknya tidak dipikirkan,rather than chromebook the name is more worthy of being judged because during his period from tukin the lecturers did not know how education would progress if the welfare of the students was not considered,rather than chromebook the name is more worthy of being judged because during his period from salary the lecturer did not know how education would progress if the welfare of the students was not considered,rather chromebook name worthy judged period salary lecturer education progress welfare students considered,"['rather', 'chromebook', 'name', 'worthy', 'judged', 'period', 'salary', 'lecturer', 'education', 'progress', 'welfare', 'students', 'considered']",13
Sat May 16,01:40:35,"Tukin ini sensitif banget.

Tanpa Tukin, gaji dosen lulusan S2-S3 mentok 3 juta. Gila ga tuh?

Yang ngedidik mahasiswa digaji kecil, ya jatuhlah kualitas pendidikan tinggi kita.

Tak heran kan, dosen-dosen pada ngedemo Kemendiktisaintek era Prabowo supaya tukin mereka dibayarkan.

Source Gambar: CNNIndonesia/ANTARA FOTO/Hafidz Mubarak A",Tukin ini sensitif banget Tanpa Tukin gaji dosen lulusan S2 S3 mentok juta Gila ga tuh Yang ngedidik mahasiswa digaji kecil ya jatuhlah kualitas pendidikan tinggi kita Tak heran kan dosen dosen pada ngedemo Kemendiktisaintek era Prabowo supaya tukin mereka dibayarkan Source Gambar CNNIndonesia ANTARA FOTO Hafidz Mubarak A,tukin ini sensitif banget tanpa tukin gaji dosen lulusan s2 s3 mentok juta gila ga tuh yang ngedidik mahasiswa digaji kecil ya jatuhlah kualitas pendidikan tinggi kita tak heran kan dosen dosen pada ngedemo kemendiktisaintek era prabowo supaya tukin mereka dibayarkan source gambar cnnindonesia antara foto hafidz mubarak a,tukin ini sensitif banget tanpa tukin gaji dosen lulusan s2 s3 mentok juta gila tidak tuh yang ngedidik mahasiswa digaji kecil ya jatuhlah kualitas pendidikan tinggi kita tak heran kan dosen dosen pada ngedemo kemendiktisaintek era prabowo supaya tukin mereka dibayarkan source gambar cnnindonesia antara foto hafidz mubarak,['tidak'],['ga'],[-6394627196483031571],tukin ini sensitif banget tanpa tukin gaji dosen lulusan master degree doctoral degree mentok juta gila tidak tuh yang ngedidik mahasiswa digaji kecil ya jatuhlah kualitas pendidikan tinggi kita tak heran kan dosen dosen pada ngedemo kemendiktisaintek era prabowo supaya tukin mereka dibayarkan source gambar cnnindonesia antara foto hafidz mubarak,this tukin is very sensitive without tukin the salaries of lecturers who graduated from master degree doctoral degrees are stuck at a crazy million isn t it true that those who educate students are paid little yes the quality of higher education has fallen we are not surprised that lecturers are protesting against the ministry of education and technology in the prabowo era so that their tukin will be paid source of images from indonesia including photos of hafidz mubarak,this salary is very sensitive without salary the salary of lecturer who graduated from master degree doctoral degrees are stuck at a crazy million isn t it true that those who educate students are salary little yes the quality of higher education has fallen we are not surprised that lecturer are protesting against the ministry of education and technology in the prabowo era so that their salary will be salary source of images from indonesia including photos of hafidz mubarak,salary sensitive without salary salary lecturer graduated master degree doctoral degrees stuck crazy million true educate students salary little quality higher education fallen surprised lecturer protesting ministry education technology prabowo era salary salary source images indonesia including photos hafidz mubarak,"['salary', 'sensitive', 'without', 'salary', 'salary', 'lecturer', 'graduated', 'master', 'degree', 'doctoral', 'degrees', 'stuck', 'crazy', 'million', 'true', 'educate', 'students', 'salary', 'little', 'quality', 'higher', 'education', 'fallen', 'surprised', 'lecturer', 'protesting', 'ministry', 'education', 'technology', 'prabowo', 'era', 'salary', 'salary', 'source', 'images', 'indonesia', 'including', 'photos', 'hafidz', 'mubarak']",40
Sat May 16,01:23:37,"Anggaran pendidikan aja ga nyampe 20%. Sementara kesejahteraan dosen &amp; anggaran risetlah yang jadi korban, akibat MBG

Terus ujug ujug Sekolah Garuda jadi peraih nobel, yang padahal gimana ceritanya Kementerian Pendidikan Tinggi malah ngurus sekolahan hmmm https://t.co/uViKjSLGhu",Anggaran pendidikan aja ga nyampe Sementara kesejahteraan dosen amp anggaran risetlah yang jadi korban akibat MBG Terus ujug ujug Sekolah Garuda jadi peraih nobel yang padahal gimana ceritanya Kementerian Pendidikan Tinggi malah ngurus sekolahan hmmm,anggaran pendidikan aja ga nyampe sementara kesejahteraan dosen amp anggaran risetlah yang jadi korban akibat mbg terus ujug ujug sekolah garuda jadi peraih nobel yang padahal gimana ceritanya kementerian pendidikan tinggi malah ngurus sekolahan hmmm,anggaran pendidikan saja tidak sampai sementara kesejahteraan dosen amp anggaran risetlah yang jadi korban akibat mbak terus ujug ujug sekolah garuda jadi peraih nobel yang padahal bagaimana ceritanya kementerian pendidikan tinggi malah mengurus sekolahan hmmm,"['saja', 'tidak', 'sampai', 'mbak', 'bagaimana', 'mengurus']","['aja', 'ga', 'nyampe', 'mbg', 'gimana', 'ngurus']","[3102073081575664814, -6394627196483031571, -5770325142199896545, -7841306949393213849, -6553119271696507152, -822172467216371952]",anggaran pendidikan saja tidak sampai sementara kesejahteraan dosen amp anggaran risetlah yang jadi korban akibat mbak terus ujug ujug sekolah garuda jadi peraih nobel yang padahal bagaimana ceritanya kementerian pendidikan tinggi malah mengurus sekolahan hmmm,the education budget alone is not enough while the welfare of the lecturers and the research budget are the ones that become victims as a result miss in the end the garuda school becomes a nobel laureate even though what the story is that the ministry of higher education actually takes care of the school hmmm,the education budget alone is not enough while the welfare of the lecturer and the research budget are the ones that become victims as a result miss in the end the garuda institution becomes a nobel laureate even though what the story is that the ministry of higher education actually takes care of the institution hmmm,education budget alone enough welfare lecturer research budget ones victims result miss end garuda institution becomes nobel laureate story ministry higher education actually takes care institution hmmm,"['education', 'budget', 'alone', 'enough', 'welfare', 'lecturer', 'research', 'budget', 'ones', 'victims', 'result', 'miss', 'end', 'garuda', 'institution', 'becomes', 'nobel', 'laureate', 'story', 'ministry', 'higher', 'education', 'actually', 'takes', 'care', 'institution', 'hmmm']",27
